"STATE.UT","DISTRICT","Year","Rape","Kidnapping.and.Abduction","Dowry.Deaths","Assault.on.women.with.intent.to.outrage.her.modesty","Insult.to.modesty.of.Women","Cruelty.by.Husband.or.his.Relatives","Importation.of.Girls","TOTAL_WOMEN_CRIMES"
"ANDHRA PRADESH","ADILABAD",2001,50,30,16,149,34,175,0,420
"ANDHRA PRADESH","ANANTAPUR",2001,23,30,7,118,24,154,0,332
"ANDHRA PRADESH","CHITTOOR",2001,27,34,14,112,83,186,0,373
"ANDHRA PRADESH","CUDDAPAH",2001,20,20,17,126,38,57,0,240
"ANDHRA PRADESH","EAST GODAVARI",2001,23,26,12,109,58,247,0,417
"ANDHRA PRADESH","GUNTAKAL RLY.",2001,0,0,0,1,0,0,0,1
"ANDHRA PRADESH","GUNTUR",2001,54,51,7,139,129,378,0,629
"ANDHRA PRADESH","HYDERABAD CITY",2001,37,39,24,118,27,746,0,964
"ANDHRA PRADESH","KARIMNAGAR",2001,56,49,62,414,81,224,0,805
"ANDHRA PRADESH","KHAMMAM",2001,47,30,17,180,336,172,0,446
"ANDHRA PRADESH","KRISHNA",2001,37,21,10,208,72,265,0,541
"ANDHRA PRADESH","KURNOOL",2001,29,47,13,141,107,92,0,322
"ANDHRA PRADESH","MAHABOOBNAGAR",2001,59,27,14,176,41,69,0,345
"ANDHRA PRADESH","MEDAK",2001,35,20,26,100,25,192,0,373
"ANDHRA PRADESH","NALGONDA",2001,35,19,31,188,59,214,0,487
"ANDHRA PRADESH","NELLORE",2001,46,80,10,207,228,287,0,630
"ANDHRA PRADESH","NIZAMABAD",2001,21,21,19,55,15,228,0,344
"ANDHRA PRADESH","PRAKASHAM",2001,19,12,5,140,100,119,0,295
"ANDHRA PRADESH","RANGA REDDY",2001,72,83,37,113,55,421,7,726
"ANDHRA PRADESH","SECUNDERABAD RLY.",2001,0,0,1,0,1,0,0,1
"ANDHRA PRADESH","SRIKAKULAM",2001,8,12,6,38,47,108,0,172
"ANDHRA PRADESH","VIJAYAWADA",2001,25,48,2,84,122,520,0,679
"ANDHRA PRADESH","VIJAYAWADA RLY.",2001,1,0,0,1,1,0,0,2
"ANDHRA PRADESH","VISAKHA RURAL",2001,12,12,3,67,48,99,0,193
"ANDHRA PRADESH","VISAKHAPATNAM",2001,13,6,0,33,462,204,0,256
"ANDHRA PRADESH","VIZIANAGARAM",2001,8,2,0,40,22,121,0,171
"ANDHRA PRADESH","WARANGAL",2001,53,25,52,241,0,165,0,536
"ANDHRA PRADESH","WEST GODAVARI",2001,61,21,15,246,56,348,0,691
"ANDHRA PRADESH","TOTAL",2001,871,765,420,3544,2271,5791,7,11391
"ANDHRA PRADESH","ADILABAD",2002,37,32,20,174,63,240,0,503
"ANDHRA PRADESH","ANANTAPUR",2002,28,49,9,179,37,151,0,416
"ANDHRA PRADESH","CHITTOOR",2002,28,39,16,126,40,188,0,397
"ANDHRA PRADESH","CUDDAPAH",2002,16,22,21,100,36,63,0,222
"ANDHRA PRADESH","EAST GODAVARI",2002,25,5,11,108,73,276,0,425
"ANDHRA PRADESH","GUNTAKAL RLY.",2002,1,0,0,3,0,0,0,4
"ANDHRA PRADESH","GUNTUR",2002,46,71,13,186,85,434,0,750
"ANDHRA PRADESH","HYDERABAD CITY",2002,57,61,24,138,123,590,0,870
"ANDHRA PRADESH","KARIMNAGAR",2002,99,42,45,357,125,209,0,752
"ANDHRA PRADESH","KHAMMAM",2002,48,55,13,191,375,324,0,631
"ANDHRA PRADESH","KRISHNA",2002,41,21,14,211,110,374,0,661
"ANDHRA PRADESH","KURNOOL",2002,45,24,11,166,115,167,0,413
"ANDHRA PRADESH","MAHABOOBNAGAR",2002,85,36,31,202,42,225,0,579
"ANDHRA PRADESH","MEDAK",2002,68,38,25,103,28,251,0,485
"ANDHRA PRADESH","NALGONDA",2002,41,37,37,232,67,210,0,557
"ANDHRA PRADESH","NELLORE",2002,46,54,10,206,226,289,0,605
"ANDHRA PRADESH","NIZAMABAD",2002,35,21,17,71,24,278,0,422
"ANDHRA PRADESH","PRAKASHAM",2002,21,25,5,156,18,142,0,349
"ANDHRA PRADESH","RANGA REDDY",2002,49,70,51,143,93,508,0,821
"ANDHRA PRADESH","SECUNDERABAD RLY.",2002,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULAM",2002,14,9,4,60,16,114,0,201
"ANDHRA PRADESH","VIJAYAWADA",2002,31,43,9,119,171,869,0,1071
"ANDHRA PRADESH","VIJAYAWADA RLY.",2002,1,0,0,2,0,2,0,5
"ANDHRA PRADESH","VISAKHA RURAL",2002,14,0,2,65,41,85,0,166
"ANDHRA PRADESH","VISAKHAPATNAM",2002,8,10,3,28,18,235,0,284
"ANDHRA PRADESH","VIZIANAGARAM",2002,12,0,1,38,25,190,0,241
"ANDHRA PRADESH","WARANGAL",2002,52,58,45,212,0,157,0,524
"ANDHRA PRADESH","WEST GODAVARI",2002,54,32,12,223,73,447,0,768
"ANDHRA PRADESH","TOTAL",2002,1002,854,449,3799,2024,7018,0,13122
"ANDHRA PRADESH","ADILABAD",2003,35,16,11,141,39,238,0,441
"ANDHRA PRADESH","ANANTAPUR",2003,19,45,4,224,45,146,0,438
"ANDHRA PRADESH","CHITTOOR",2003,36,34,23,121,173,60,0,274
"ANDHRA PRADESH","CUDDAPAH",2003,10,28,5,104,31,60,0,207
"ANDHRA PRADESH","CYBERABAD",2003,31,62,25,96,78,543,1,757
"ANDHRA PRADESH","EAST GODAVARI",2003,18,35,11,150,110,357,0,571
"ANDHRA PRADESH","GUNTAKAL RLY.",2003,1,1,0,2,0,0,0,4
"ANDHRA PRADESH","GUNTUR",2003,46,77,22,228,99,399,0,772
"ANDHRA PRADESH","HYDERABAD CITY",2003,57,64,42,165,296,1082,0,1410
"ANDHRA PRADESH","KARIMNAGAR",2003,88,67,53,362,132,602,1,1172
"ANDHRA PRADESH","KHAMMAM",2003,45,35,17,162,246,180,0,439
"ANDHRA PRADESH","KRISHNA",2003,45,16,20,186,107,317,0,584
"ANDHRA PRADESH","KURNOOL",2003,28,16,11,231,131,202,0,488
"ANDHRA PRADESH","MAHABOOBNAGAR",2003,69,33,19,179,36,238,0,538
"ANDHRA PRADESH","MEDAK",2003,30,37,44,128,37,174,0,413
"ANDHRA PRADESH","NALGONDA",2003,62,37,33,249,51,319,0,700
"ANDHRA PRADESH","NELLORE",2003,27,58,10,204,97,231,0,530
"ANDHRA PRADESH","NIZAMABAD",2003,29,7,11,61,32,329,3,437
"ANDHRA PRADESH","PRAKASHAM",2003,22,31,13,133,149,114,0,313
"ANDHRA PRADESH","RANGA REDDY",2003,14,14,12,71,12,113,0,224
"ANDHRA PRADESH","SECUNDERABAD RLY.",2003,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULAM",2003,9,4,7,58,44,147,0,225
"ANDHRA PRADESH","VIJAYAWADA",2003,27,45,7,170,146,1208,0,1457
"ANDHRA PRADESH","VIJAYAWADA RLY.",2003,0,0,0,0,3,0,0,0
"ANDHRA PRADESH","VISAKHA RURAL",2003,15,15,3,54,16,89,0,176
"ANDHRA PRADESH","VISAKHAPATNAM",2003,9,20,3,11,30,146,0,189
"ANDHRA PRADESH","VIZIANAGARAM",2003,6,0,4,34,25,127,0,171
"ANDHRA PRADESH","WARANGAL",2003,61,69,35,222,0,162,0,549
"ANDHRA PRADESH","WEST GODAVARI",2003,107,65,21,382,121,584,0,1159
"ANDHRA PRADESH","TOTAL",2003,946,931,466,4128,2286,8167,5,14638
"ANDHRA PRADESH","ADILABAD",2004,50,42,14,135,71,296,0,537
"ANDHRA PRADESH","ANANTAPUR",2004,20,31,11,196,50,147,0,405
"ANDHRA PRADESH","CHITTOOR",2004,28,27,22,116,197,234,0,427
"ANDHRA PRADESH","CUDDAPAH",2004,14,31,7,118,49,120,0,290
"ANDHRA PRADESH","CYBERABAD",2004,40,69,43,106,85,517,0,775
"ANDHRA PRADESH","EAST GODAVARI",2004,31,23,13,112,105,293,0,472
"ANDHRA PRADESH","GUNTAKAL RLY.",2004,0,0,0,1,0,0,0,1
"ANDHRA PRADESH","GUNTUR",2004,46,60,32,186,104,397,0,721
"ANDHRA PRADESH","HYDERABAD CITY",2004,56,62,29,144,206,1142,2,1433
"ANDHRA PRADESH","KARIMNAGAR",2004,85,98,61,370,155,717,0,1331
"ANDHRA PRADESH","KHAMMAM",2004,43,46,18,176,310,400,0,683
"ANDHRA PRADESH","KRISHNA",2004,33,13,13,182,108,362,0,603
"ANDHRA PRADESH","KURNOOL",2004,29,32,6,242,157,230,0,539
"ANDHRA PRADESH","MAHABOOBNAGAR",2004,56,52,21,164,10,251,0,544
"ANDHRA PRADESH","MEDAK",2004,52,32,41,86,54,229,0,440
"ANDHRA PRADESH","NALGONDA",2004,46,57,34,200,66,272,0,609
"ANDHRA PRADESH","NELLORE",2004,107,55,11,173,88,142,0,488
"ANDHRA PRADESH","NIZAMABAD",2004,24,19,17,74,46,339,0,473
"ANDHRA PRADESH","PRAKASHAM",2004,19,37,6,130,24,146,0,338
"ANDHRA PRADESH","RANGA REDDY",2004,25,22,17,49,15,136,0,249
"ANDHRA PRADESH","SECUNDERABAD RLY.",2004,0,0,2,1,0,2,0,5
"ANDHRA PRADESH","SRIKAKULAM",2004,15,13,14,58,11,165,0,265
"ANDHRA PRADESH","VIJAYAWADA",2004,19,43,10,132,196,678,0,882
"ANDHRA PRADESH","VIJAYAWADA RLY.",2004,0,0,0,6,0,1,0,7
"ANDHRA PRADESH","VISAKHA RURAL",2004,18,12,3,54,30,94,0,181
"ANDHRA PRADESH","VISAKHAPATNAM",2004,12,16,1,24,43,243,0,296
"ANDHRA PRADESH","VIZIANAGARAM",2004,14,7,6,53,26,155,0,235
"ANDHRA PRADESH","WARANGAL",2004,53,88,43,228,0,162,0,574
"ANDHRA PRADESH","WEST GODAVARI",2004,81,43,17,301,104,518,0,960
"ANDHRA PRADESH","TOTAL",2004,1016,1030,512,3817,2310,8388,2,14763
"ANDHRA PRADESH","ADILABAD",2005,53,46,21,144,77,280,0,544
"ANDHRA PRADESH","ANANTAPUR",2005,16,30,12,173,57,137,0,368
"ANDHRA PRADESH","CHITTOOR",2005,35,58,9,91,223,202,0,395
"ANDHRA PRADESH","CUDDAPAH",2005,21,31,7,116,18,95,0,270
"ANDHRA PRADESH","CYBERABAD",2005,44,58,34,119,96,701,3,956
"ANDHRA PRADESH","EAST GODAVARI",2005,27,3,15,102,119,368,0,515
"ANDHRA PRADESH","GUNTAKAL RLY.",2005,0,1,4,1,0,0,0,6
"ANDHRA PRADESH","GUNTUR",2005,55,56,16,166,203,366,0,659
"ANDHRA PRADESH","HYDERABAD CITY",2005,67,70,27,119,348,1309,0,1592
"ANDHRA PRADESH","KARIMNAGAR",2005,84,91,52,328,143,839,0,1394
"ANDHRA PRADESH","KHAMMAM",2005,21,40,14,150,240,313,0,538
"ANDHRA PRADESH","KRISHNA",2005,27,26,11,209,104,337,0,610
"ANDHRA PRADESH","KURNOOL",2005,29,30,9,221,124,233,0,522
"ANDHRA PRADESH","MAHABOOBNAGAR",2005,62,47,17,140,7,237,0,503
"ANDHRA PRADESH","MEDAK",2005,36,27,28,88,35,209,0,388
"ANDHRA PRADESH","NALGONDA",2005,49,31,30,223,95,344,0,677
"ANDHRA PRADESH","NELLORE",2005,33,65,11,205,84,166,0,480
"ANDHRA PRADESH","NIZAMABAD",2005,26,32,16,88,41,410,0,572
"ANDHRA PRADESH","PRAKASHAM",2005,27,43,7,169,27,156,0,402
"ANDHRA PRADESH","RANGA REDDY",2005,15,14,22,45,13,119,0,215
"ANDHRA PRADESH","SECUNDERABAD RLY.",2005,0,0,2,1,1,0,0,3
"ANDHRA PRADESH","SRIKAKULAM",2005,15,16,9,51,40,137,0,228
"ANDHRA PRADESH","VIJAYAWADA",2005,32,49,8,64,122,296,0,449
"ANDHRA PRADESH","VIJAYAWADA RLY.",2005,0,0,0,2,0,0,0,2
"ANDHRA PRADESH","VISAKHA RURAL",2005,18,8,7,36,9,153,0,222
"ANDHRA PRADESH","VISAKHAPATNAM",2005,28,15,2,45,86,361,0,451
"ANDHRA PRADESH","VIZIANAGARAM",2005,12,9,7,41,28,186,0,255
"ANDHRA PRADESH","WARANGAL",2005,34,64,29,226,50,332,0,685
"ANDHRA PRADESH","WEST GODAVARI",2005,69,35,17,232,118,410,0,763
"ANDHRA PRADESH","TOTAL",2005,935,995,443,3595,2508,8696,3,14664
"ANDHRA PRADESH","ADILABAD",2006,64,71,22,185,107,423,0,765
"ANDHRA PRADESH","ANANTAPUR",2006,16,32,16,187,11,189,0,440
"ANDHRA PRADESH","CHITTOOR",2006,31,37,18,123,190,249,0,458
"ANDHRA PRADESH","CUDDAPAH",2006,25,51,10,130,84,199,0,415
"ANDHRA PRADESH","CYBERABAD",2006,60,90,50,132,93,837,0,1169
"ANDHRA PRADESH","EAST GODAVARI",2006,41,28,25,173,107,465,0,732
"ANDHRA PRADESH","GUNTAKAL RLY.",2006,0,1,0,2,1,3,0,6
"ANDHRA PRADESH","GUNTUR",2006,47,35,15,281,236,427,0,805
"ANDHRA PRADESH","HYDERABAD CITY",2006,93,77,29,189,108,1160,0,1548
"ANDHRA PRADESH","KARIMNAGAR",2006,73,119,47,371,195,698,0,1308
"ANDHRA PRADESH","KHAMMAM",2006,44,58,17,171,129,327,0,617
"ANDHRA PRADESH","KRISHNA",2006,36,38,9,168,74,296,0,547
"ANDHRA PRADESH","KURNOOL",2006,35,70,9,341,157,157,0,612
"ANDHRA PRADESH","MAHABOOBNAGAR",2006,67,62,33,201,9,287,0,650
"ANDHRA PRADESH","MEDAK",2006,57,39,33,107,59,276,0,512
"ANDHRA PRADESH","NALGONDA",2006,61,71,40,246,126,395,0,813
"ANDHRA PRADESH","NELLORE",2006,35,49,10,192,137,294,0,580
"ANDHRA PRADESH","NIZAMABAD",2006,36,46,18,115,64,431,0,646
"ANDHRA PRADESH","PRAKASHAM",2006,23,68,8,200,68,249,0,548
"ANDHRA PRADESH","RANGA REDDY",2006,9,10,15,50,9,67,0,151
"ANDHRA PRADESH","SECUNDERABAD RLY.",2006,2,1,2,0,0,1,0,6
"ANDHRA PRADESH","SRIKAKULAM",2006,27,21,3,70,25,188,0,309
"ANDHRA PRADESH","VIJAYAWADA CITY",2006,21,60,8,135,158,336,0,560
"ANDHRA PRADESH","VIJAYAWADA RLY.",2006,0,0,0,5,1,0,0,5
"ANDHRA PRADESH","VISAKHA RURAL",2006,6,11,4,45,38,158,0,224
"ANDHRA PRADESH","VISAKHAPATNAM",2006,21,40,10,62,30,397,0,530
"ANDHRA PRADESH","VIZIANAGARAM",2006,16,16,5,69,22,171,0,277
"ANDHRA PRADESH","WARANGAL",2006,50,78,40,230,56,480,0,878
"ANDHRA PRADESH","WEST GODAVARI",2006,53,50,23,354,117,4,0,484
"ANDHRA PRADESH","TOTAL",2006,1049,1329,519,4534,2411,9164,0,16595
"ANDHRA PRADESH","ADILABAD",2007,46,72,21,156,133,335,0,630
"ANDHRA PRADESH","ANANTAPUR",2007,31,35,14,176,194,0,0,256
"ANDHRA PRADESH","CHITTOOR",2007,31,47,25,118,197,395,0,616
"ANDHRA PRADESH","CUDDAPAH",2007,32,68,8,139,94,242,0,489
"ANDHRA PRADESH","CYBERABAD",2007,45,100,41,118,55,881,0,1185
"ANDHRA PRADESH","EAST GODAVARI",2007,30,64,19,159,131,561,0,833
