"STATE.UT","DISTRICT","Year","Rape","Kidnapping.and.Abduction","Dowry.Deaths","Assault.on.women.with.intent.to.outrage.her.modesty","Insult.to.modesty.of.Women","Cruelty.by.Husband.or.his.Relatives","Importation.of.Girls","TOTAL_WOMEN_CRIMES"
"ANDHRA PRADESH","GUNTAKAL RLY.",2007,0,1,0,0,4,3,0,4
"ANDHRA PRADESH","GUNTUR",2007,43,79,28,292,214,569,0,1011
"ANDHRA PRADESH","HYDERABAD CITY",2007,58,74,41,216,128,1365,0,1754
"ANDHRA PRADESH","KARIMNAGAR",2007,73,135,61,315,278,687,0,1271
"ANDHRA PRADESH","KHAMMAM",2007,81,73,28,176,272,422,0,780
"ANDHRA PRADESH","KRISHNA",2007,27,47,13,161,150,348,0,596
"ANDHRA PRADESH","KURNOOL",2007,36,64,7,327,219,364,0,798
"ANDHRA PRADESH","MAHABOOBNAGAR",2007,87,75,27,132,21,218,0,539
"ANDHRA PRADESH","MEDAK",2007,51,56,49,115,96,346,0,617
"ANDHRA PRADESH","NALGONDA",2007,69,75,36,233,112,429,0,842
"ANDHRA PRADESH","NELLORE",2007,44,65,14,203,123,331,0,657
"ANDHRA PRADESH","NIZAMABAD",2007,23,48,25,88,59,455,0,639
"ANDHRA PRADESH","PRAKASHAM",2007,40,65,7,171,266,261,0,544
"ANDHRA PRADESH","RANGA REDDY",2007,21,10,25,40,10,93,0,189
"ANDHRA PRADESH","SECUNDERABAD RLY.",2007,0,0,0,2,0,0,0,2
"ANDHRA PRADESH","SRIKAKULAM",2007,30,19,12,99,57,345,0,505
"ANDHRA PRADESH","VIJAYAWADA CITY",2007,17,49,10,131,202,531,0,738
"ANDHRA PRADESH","VIJAYAWADA RLY.",2007,0,0,0,4,1,1,0,5
"ANDHRA PRADESH","VISAKHA RURAL",2007,12,11,7,57,24,167,0,254
"ANDHRA PRADESH","VISAKHAPATNAM",2007,24,23,14,100,25,535,0,696
"ANDHRA PRADESH","VIZIANAGARAM",2007,10,20,3,90,46,270,0,393
"ANDHRA PRADESH","WARANGAL",2007,57,109,56,279,50,608,0,1109
"ANDHRA PRADESH","WEST GODAVARI",2007,52,80,22,309,155,573,0,1036
"ANDHRA PRADESH","TOTAL",2007,1070,1564,613,4406,3316,11335,0,18988
"ANDHRA PRADESH","ADILABAD",2008,50,26,5,174,103,355,0,610
"ANDHRA PRADESH","ANANTAPUR",2008,37,36,12,133,132,0,0,218
"ANDHRA PRADESH","CHITTOOR",2008,30,57,26,104,250,288,0,505
"ANDHRA PRADESH","CUDDAPAH",2008,27,64,11,212,37,267,0,581
"ANDHRA PRADESH","CYBERABAD",2008,80,101,59,130,833,884,0,1254
"ANDHRA PRADESH","EAST GODAVARI",2008,48,13,23,194,131,563,0,841
"ANDHRA PRADESH","GUNTAKAL RLY.",2008,0,0,0,3,1,2,0,5
"ANDHRA PRADESH","GUNTUR",2008,48,65,26,306,99,496,0,941
"ANDHRA PRADESH","HYDERABAD CITY",2008,62,77,41,231,148,1184,0,1595
"ANDHRA PRADESH","KARIMNAGAR",2008,84,148,48,310,273,596,0,1186
"ANDHRA PRADESH","KHAMMAM",2008,70,83,26,213,24,329,0,721
"ANDHRA PRADESH","KRISHNA",2008,38,52,12,254,93,379,0,735
"ANDHRA PRADESH","KURNOOL",2008,47,72,17,419,232,227,0,782
"ANDHRA PRADESH","MAHABOOBNAGAR",2008,72,87,35,162,38,231,0,587
"ANDHRA PRADESH","MEDAK",2008,50,44,35,114,61,332,0,575
"ANDHRA PRADESH","NALGONDA",2008,90,76,32,243,155,353,0,794
"ANDHRA PRADESH","NELLORE",2008,39,73,6,184,130,333,0,635
"ANDHRA PRADESH","NIZAMABAD",2008,31,25,16,70,85,305,0,447
"ANDHRA PRADESH","PRAKASHAM",2008,30,53,5,192,38,229,0,509
"ANDHRA PRADESH","RANGA REDDY",2008,37,13,19,39,25,120,0,228
"ANDHRA PRADESH","SECUNDERABAD RLY.",2008,2,0,0,1,0,0,0,3
"ANDHRA PRADESH","SRIKAKULAM",2008,32,14,6,92,72,314,0,458
"ANDHRA PRADESH","VIJAYAWADA CITY",2008,30,36,9,104,252,395,0,574
"ANDHRA PRADESH","VIJAYAWADA RLY.",2008,0,0,0,1,1,0,0,1
"ANDHRA PRADESH","VISAKHA RURAL",2008,12,9,10,79,40,168,0,278
"ANDHRA PRADESH","VISAKHAPATNAM",2008,29,26,13,87,2,488,0,643
"ANDHRA PRADESH","VIZIANAGARAM",2008,6,14,3,88,60,253,0,364
"ANDHRA PRADESH","WARANGAL",2008,59,62,36,223,54,519,0,899
"ANDHRA PRADESH","WEST GODAVARI",2008,117,70,25,368,182,696,0,1276
"ANDHRA PRADESH","TOTAL",2008,1257,1396,556,4730,3551,10306,0,18245
"ANDHRA PRADESH","ADILABAD",2009,67,56,13,192,163,428,0,756
"ANDHRA PRADESH","ANANTAPUR",2009,22,60,14,157,13,143,0,396
"ANDHRA PRADESH","CHITTOOR",2009,33,46,19,120,268,333,0,551
"ANDHRA PRADESH","CUDDAPAH",2009,27,47,17,165,52,124,0,380
"ANDHRA PRADESH","CYBERABAD",2009,82,113,46,173,155,991,0,1405
"ANDHRA PRADESH","EAST GODAVARI",2009,47,60,23,196,178,440,0,766
"ANDHRA PRADESH","GUNTAKAL RLY.",2009,0,0,0,3,1,0,0,3
"ANDHRA PRADESH","GUNTUR",2009,40,62,26,340,451,720,0,1188
"ANDHRA PRADESH","HYDERABAD CITY",2009,47,55,36,295,63,1363,0,1796
"ANDHRA PRADESH","KARIMNAGAR",2009,48,106,40,292,234,635,0,1121
"ANDHRA PRADESH","KHAMMAM",2009,98,96,18,205,152,519,0,936
"ANDHRA PRADESH","KRISHNA",2009,43,35,14,297,130,402,0,791
"ANDHRA PRADESH","KURNOOL",2009,31,73,17,398,365,239,0,758
"ANDHRA PRADESH","MAHABOOBNAGAR",2009,74,101,24,215,75,299,0,713
"ANDHRA PRADESH","MEDAK",2009,46,51,27,118,58,368,0,610
"ANDHRA PRADESH","NALGONDA",2009,77,75,41,254,205,364,0,811
"ANDHRA PRADESH","NELLORE",2009,32,48,3,287,128,305,0,675
"ANDHRA PRADESH","NIZAMABAD",2009,27,41,19,79,75,518,0,684
"ANDHRA PRADESH","PRAKASHAM",2009,27,44,14,197,51,248,0,530
"ANDHRA PRADESH","RANGA REDDY",2009,26,20,20,44,25,108,0,218
"ANDHRA PRADESH","SECUNDERABAD RLY.",2009,0,0,0,3,0,0,0,3
"ANDHRA PRADESH","SRIKAKULAM",2009,21,20,6,67,44,211,0,325
"ANDHRA PRADESH","VIJAYAWADA CITY",2009,23,53,17,177,198,433,0,703
"ANDHRA PRADESH","VIJAYAWADA RLY.",2009,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","VISAKHA RURAL",2009,14,7,8,57,56,167,0,253
"ANDHRA PRADESH","VISAKHAPATNAM",2009,39,26,13,95,54,481,0,654
"ANDHRA PRADESH","VIZIANAGARAM",2009,13,12,8,103,105,297,0,433
"ANDHRA PRADESH","WARANGAL",2009,70,130,49,234,25,432,0,915
"ANDHRA PRADESH","WEST GODAVARI",2009,114,89,14,384,196,729,0,1330
"ANDHRA PRADESH","TOTAL",2009,1188,1526,546,5147,3520,11297,0,19704
"ANDHRA PRADESH","ADILABAD",2010,48,48,18,133,155,429,0,676
"ANDHRA PRADESH","ANANTAPUR",2010,20,60,20,132,35,250,0,482
"ANDHRA PRADESH","CHITTOOR",2010,44,56,32,136,121,388,0,656
"ANDHRA PRADESH","CUDDAPAH",2010,39,51,15,137,45,321,0,563
"ANDHRA PRADESH","CYBERABAD",2010,95,72,43,157,1257,1191,0,1558
"ANDHRA PRADESH","EAST GODAVARI",2010,66,30,20,193,188,246,0,555
"ANDHRA PRADESH","GUNTAKAL RLY.",2010,0,2,0,2,2,0,0,4
"ANDHRA PRADESH","GUNTUR",2010,38,39,20,282,409,456,0,835
"ANDHRA PRADESH","GUNTUR URBAN",2010,12,5,13,48,54,245,0,323
"ANDHRA PRADESH","HYDERABAD CITY",2010,45,41,44,171,60,1420,0,1721
"ANDHRA PRADESH","KARIMNAGAR",2010,65,128,39,237,241,636,0,1105
"ANDHRA PRADESH","KHAMMAM",2010,62,66,17,147,129,354,0,646
"ANDHRA PRADESH","KRISHNA",2010,54,67,22,300,149,412,0,855
"ANDHRA PRADESH","KURNOOL",2010,49,67,19,347,268,501,0,983
"ANDHRA PRADESH","MAHABOOBNAGAR",2010,89,78,34,174,78,233,0,608
"ANDHRA PRADESH","MEDAK",2010,49,68,29,103,95,316,0,565
"ANDHRA PRADESH","NALGONDA",2010,68,81,32,195,192,218,0,594
"ANDHRA PRADESH","NELLORE",2010,28,74,6,176,119,382,0,666
"ANDHRA PRADESH","NIZAMABAD",2010,62,50,21,114,75,626,0,873
"ANDHRA PRADESH","PRAKASHAM",2010,29,65,13,253,32,216,0,576
"ANDHRA PRADESH","RAJAHMUNDRY",2010,10,12,4,47,39,96,0,169
"ANDHRA PRADESH","RANGA REDDY",2010,19,19,19,39,26,75,0,171
"ANDHRA PRADESH","SECUNDERABAD RLY.",2010,1,1,0,2,2,0,0,4
"ANDHRA PRADESH","SRIKAKULAM",2010,35,31,5,93,92,233,0,397
"ANDHRA PRADESH","TIRUPATHI URBAN",2010,10,15,5,38,25,85,0,153
"ANDHRA PRADESH","VIJAYAWADA CITY",2010,25,65,17,172,219,626,0,905
"ANDHRA PRADESH","VIJAYAWADA RLY.",2010,1,0,3,6,0,4,0,14
"ANDHRA PRADESH","VISAKHA RURAL",2010,42,12,8,92,52,222,0,376
"ANDHRA PRADESH","VISAKHAPATNAM",2010,53,24,11,59,52,393,0,540
"ANDHRA PRADESH","VIZIANAGARAM",2010,32,15,14,101,85,312,0,474
"ANDHRA PRADESH","WARANGAL",2010,28,39,7,98,10,50,0,222
"ANDHRA PRADESH","WARANGAL URBAN",2010,17,28,12,50,25,412,0,519
"ANDHRA PRADESH","WEST GODAVARI",2010,127,122,26,400,231,732,0,1407
"ANDHRA PRADESH","TOTAL",2010,1362,1531,588,4634,4562,12080,0,20195
"ANDHRA PRADESH","ADILABAD",2011,84,70,20,112,142,429,0,715
"ANDHRA PRADESH","ANANTAPUR",2011,16,83,36,156,16,198,0,489
"ANDHRA PRADESH","CHITTOOR",2011,17,47,25,124,168,421,0,634
"ANDHRA PRADESH","CUDDAPAH",2011,41,65,15,144,17,122,0,387
"ANDHRA PRADESH","CYBERABAD",2011,89,90,51,158,234,1411,0,1799
"ANDHRA PRADESH","EAST GODAVARI",2011,72,51,17,176,224,575,0,891
"ANDHRA PRADESH","GUNTAKAL RLY.",2011,0,0,0,0,3,1,0,1
"ANDHRA PRADESH","GUNTUR",2011,40,57,8,223,140,494,0,822
"ANDHRA PRADESH","GUNTUR URBAN",2011,33,28,6,86,111,395,0,548
"ANDHRA PRADESH","HYDERABAD CITY",2011,59,39,37,157,93,1355,0,1647
"ANDHRA PRADESH","KARIMNAGAR",2011,58,120,40,253,235,702,0,1173
"ANDHRA PRADESH","KHAMMAM",2011,84,73,20,243,140,519,0,939
"ANDHRA PRADESH","KRISHNA",2011,80,75,15,348,292,733,0,1251
"ANDHRA PRADESH","KURNOOL",2011,39,58,20,340,222,424,0,881
"ANDHRA PRADESH","MAHABOOBNAGAR",2011,88,69,28,162,66,259,0,606
"ANDHRA PRADESH","MEDAK",2011,38,33,26,121,50,384,0,602
"ANDHRA PRADESH","NALGONDA",2011,48,51,36,229,150,255,0,619
"ANDHRA PRADESH","NELLORE",2011,28,81,7,166,119,187,0,469
"ANDHRA PRADESH","NIZAMABAD",2011,63,51,27,98,100,569,0,808
"ANDHRA PRADESH","PRAKASHAM",2011,24,81,11,243,56,266,0,625
"ANDHRA PRADESH","RAJAHMUNDRY",2011,15,28,3,44,34,189,0,279
"ANDHRA PRADESH","RANGA REDDY",2011,24,20,15,50,2,89,0,198
"ANDHRA PRADESH","SECUNDERABAD RLY.",2011,0,1,1,5,1,2,0,9
"ANDHRA PRADESH","SRIKAKULAM",2011,29,23,8,91,83,333,0,484
"ANDHRA PRADESH","TIRUPATHI URBAN",2011,10,1,5,40,7,112,0,168
"ANDHRA PRADESH","VIJAYAWADA CITY",2011,37,50,17,248,355,1066,0,1418
"ANDHRA PRADESH","VIJAYAWADA RLY.",2011,1,2,1,3,2,1,0,8
"ANDHRA PRADESH","VISAKHA RURAL",2011,38,30,8,120,128,203,0,399
"ANDHRA PRADESH","VISAKHAPATNAM",2011,57,48,12,31,50,386,0,534
"ANDHRA PRADESH","VIZIANAGARAM",2011,50,20,5,79,99,384,0,538
"ANDHRA PRADESH","WARANGAL",2011,48,62,26,157,27,89,0,382
"ANDHRA PRADESH","WARANGAL URBAN",2011,35,15,26,78,54,63,0,217
"ANDHRA PRADESH","WEST GODAVARI",2011,97,90,27,364,238,760,0,1338
"ANDHRA PRADESH","TOTAL",2011,1442,1612,599,4849,3658,13376,0,21878
"ANDHRA PRADESH","ADILABAD",2012,88,61,7,90,155,498,0,744
"ANDHRA PRADESH","ANANTAPUR",2012,18,63,19,195,8,130,0,425
"ANDHRA PRADESH","CHITTOOR",2012,28,49,33,90,269,339,0,539
"ANDHRA PRADESH","CUDDAPAH",2012,26,44,13,217,37,120,0,420
"ANDHRA PRADESH","CYBERABAD",2012,75,102,45,183,282,976,0,1381
"ANDHRA PRADESH","EAST GODAVARI",2012,71,40,17,248,160,536,0,912
"ANDHRA PRADESH","GUNTAKAL RLY.",2012,1,0,1,1,1,2,0,5
"ANDHRA PRADESH","GUNTUR",2012,23,53,21,252,83,656,0,1005
"ANDHRA PRADESH","GUNTUR URBAN",2012,24,32,9,84,83,687,0,836
"ANDHRA PRADESH","HYDERABAD CITY",2012,74,31,23,145,141,1339,0,1612
"ANDHRA PRADESH","KARIMNAGAR",2012,40,98,46,224,232,759,0,1167
"ANDHRA PRADESH","KHAMMAM",2012,78,62,13,233,172,231,0,617
"ANDHRA PRADESH","KRISHNA",2012,67,55,16,341,309,791,0,1270
"ANDHRA PRADESH","KURNOOL",2012,22,46,15,331,75,166,0,580
"ANDHRA PRADESH","MAHABOOBNAGAR",2012,56,70,27,154,45,204,0,511
"ANDHRA PRADESH","MEDAK",2012,26,45,20,112,55,475,0,678
"ANDHRA PRADESH","NALGONDA",2012,52,79,20,246,264,302,0,699
"ANDHRA PRADESH","NELLORE",2012,23,72,9,210,142,405,0,719
"ANDHRA PRADESH","NIZAMABAD",2012,35,23,19,100,102,596,0,773
"ANDHRA PRADESH","PRAKASHAM",2012,37,69,16,213,47,263,0,598
"ANDHRA PRADESH","RAJAHMUNDRY",2012,13,5,3,49,35,183,0,253
"ANDHRA PRADESH","RANGA REDDY",2012,27,21,16,58,31,152,0,274
"ANDHRA PRADESH","SECUNDERABAD RLY.",2012,2,0,0,5,5,0,0,7
"ANDHRA PRADESH","SRIKAKULAM",2012,39,18,3,116,69,312,0,488
"ANDHRA PRADESH","TIRUPATHI URBAN",2012,12,14,6,21,11,96,0,149
"ANDHRA PRADESH","VIJAYAWADA CITY",2012,47,39,16,223,418,1136,0,1461
"ANDHRA PRADESH","VIJAYAWADA RLY.",2012,0,3,0,5,6,1,0,9
"ANDHRA PRADESH","VISAKHA RURAL",2012,27,13,9,67,20,134,0,250
"ANDHRA PRADESH","VISAKHAPATNAM",2012,50,20,11,23,11,412,0,516
"ANDHRA PRADESH","VIZIANAGARAM",2012,44,20,3,96,103,363,0,526
"ANDHRA PRADESH","WARANGAL",2012,56,58,20,117,34,101,0,352
"ANDHRA PRADESH","WARANGAL URBAN",2012,30,39,9,71,74,267,0,416
"ANDHRA PRADESH","WEST GODAVARI",2012,130,59,19,296,235,757,0,1261
"ANDHRA PRADESH","TOTAL",2012,1341,1403,504,4816,3714,13389,0,21453
